일시,평균기온(℃),최고기온(℃),최저기온(℃)
2011-02-01,-0.3,6.3,-7.5
2011-02-02,2.2,8.6,-2.1
2011-02-03,1.7,8.9,-3.8
2011-02-04,3.6,10.4,-1
2011-02-05,2.4,10.2,-2.8
2011-02-06,3.7,10.3,-1.6
2011-02-07,4.5,9.6,-0.3
2011-02-08,4,5.7,2
2011-02-09,1.5,5.8,-1.9
2011-02-10,-0.5,1.7,-2.8
2011-02-11,-1.1,4,-4.9
2011-02-12,-3.7,-0.4,-6.2
2011-02-13,-2.8,3.4,-7.5
2011-02-14,-2,2,-5.3
2011-02-15,-0.3,7.5,-6.2
2011-02-16,1.9,9,-4.1
2011-02-17,1.2,2.8,-0.9
2011-02-18,2.5,9.8,-2.5
2011-02-19,3.7,12,-1.6
2011-02-20,6.3,15,0
2011-02-21,6.4,13.3,1.4
2011-02-22,5.7,12.2,-0.2
2011-02-23,7.4,15,1.7
2011-02-24,8.2,17.5,1.9
2011-02-25,6.3,12.1,2
2011-02-26,8,16.7,-0.3
2012-02-01,-4,1.8,-6.3
2012-02-02,-7.9,-5.2,-9.7
2012-02-03,-4.6,0.3,-9.3
2012-02-04,-0.5,5.1,-4.7
2012-02-05,1.3,6.3,-2.8
2012-02-06,2.2,4.3,-1.4
2012-02-07,-3.4,3.1,-6.6
2012-02-08,-5.7,-2,-9.3
2012-02-09,-1.8,1.7,-5.4
2012-02-10,-0.3,4.5,-4.4
2012-02-11,-1.7,4.4,-5.9
2012-02-12,1.6,8.6,-6
2012-02-13,3.7,4.7,2.6
2012-02-14,4.6,9.5,2.1
2012-02-15,2.8,7.4,0.3
2012-02-16,1.2,5.7,-2.4
2012-02-17,-2.6,1.1,-4.8
2012-02-18,-4.3,-0.7,-6.7
2012-02-19,-2.5,2.6,-7.1
2012-02-20,0.1,7.7,-7.4
2012-02-21,0.8,4.7,-2.4
2012-02-22,6.5,13,-0.8
2012-02-23,6.2,9.5,2.6
2012-02-24,6.4,13.2,0.4
2012-02-25,2,4.9,-0.6
2012-02-26,0.2,4.9,-2.7
2013-02-01,10.9,14.5,6.2
2013-02-02,2.5,7.3,-2
2013-02-03,0.9,3.8,-3.6
2013-02-04,3.4,6.2,0.1
2013-02-05,2.2,4.5,-0.9
2013-02-06,1.3,3.5,0.4
2013-02-07,-4.8,1.2,-8.5
2013-02-08,-6.3,-1.4,-9.7
2013-02-09,-3.5,2,-8.3
2013-02-10,-0.8,5,-6
2013-02-11,-1.1,4.4,-5.6
2013-02-12,-0.8,2.1,-2.5
2013-02-13,0.8,6.9,-4.7
2013-02-14,3.3,9,-2.2
2013-02-15,2,7.1,-2.2
2013-02-16,0.2,6.8,-5.2
2013-02-17,2.8,6.1,-1.5
2013-02-18,3.6,6.3,0.8
2013-02-19,0.3,4.8,-2.9
2013-02-20,-0.6,5,-4.6
2013-02-21,1.3,7.1,-3.3
2013-02-22,2.6,9.2,-2.2
2013-02-23,0.8,5.9,-4
2013-02-24,2.7,9,-3.6
2013-02-25,6,14,-2.2
2013-02-26,8,10.8,5.5
2014-02-01,12,20.5,5
2014-02-02,10.9,14.9,7.2
2014-02-03,2.8,7.6,-3.2
2014-02-04,-4.2,-0.6,-6.6
2014-02-05,-2.1,2.7,-5.9
2014-02-06,1.8,5.9,-1.4
2014-02-07,4.7,8.3,0.9
2014-02-08,2.7,3.8,1.5
2014-02-09,0.2,3.5,-1.8
2014-02-10,1.4,5.8,-2.6
2014-02-11,3.1,9.3,-1.8
2014-02-12,3.4,8.8,0.3
2014-02-13,3.7,8.9,-0.8
2014-02-14,3.6,9.1,-0.2
2014-02-15,3.3,10.3,-2.3
2014-02-16,5.4,12.3,-1.5
2014-02-17,5.7,9.3,2.8
2014-02-18,3.8,8.3,0.9
2014-02-19,3.2,9.2,-1.4
2014-02-20,2.4,9,-2
2014-02-21,1.8,8.8,-2.7
2014-02-22,3.6,10.9,-2.5
2014-02-23,5.3,13.5,-1.2
2014-02-24,6.6,15,-0.4
2014-02-25,8.9,16.3,1.4
2014-02-26,8.2,11.3,6.7
2015-02-01,-0.8,5.7,-6.3
2015-02-02,1.6,9,-3
2015-02-03,1.5,8.1,-3.2
2015-02-04,1.5,4.5,-1.4
2015-02-05,1.3,4.6,-1.5
2015-02-06,2.5,7.3,-1.1
2015-02-07,2.5,6.1,-1.7
2015-02-08,-4,3.3,-6.2
2015-02-09,-3.1,1.2,-8.7
2015-02-10,3.6,9.3,-1.3
2015-02-11,5.6,11.2,0.9
2015-02-12,1.5,5.5,-1.6
2015-02-13,0,5.4,-4.4
2015-02-14,3.3,10.8,-3.6
2015-02-15,7.2,10.3,3.5
2015-02-16,7.1,8,5.6
2015-02-17,4.4,7.9,3.1
2015-02-18,2.5,3.6,1.9
2015-02-19,4.2,10.5,0.9
2015-02-20,5.8,13.3,-1.2
2015-02-21,9,11.9,5.5
2015-02-22,5.8,10.8,1.8
2015-02-23,3.6,9.9,0.6
2015-02-24,4.3,10.7,0.2
2015-02-25,5.7,9.8,0.8
2015-02-26,4.2,8.1,-0.1
2016-02-01,-2.2,0.7,-4
2016-02-02,-2.1,2.3,-5.7
2016-02-03,-0.1,5.7,-5.9
2016-02-04,0.7,6.5,-3.8
2016-02-05,1.2,5.7,-2.2
2016-02-06,-0.4,2.8,-2.4
2016-02-07,-0.4,5.3,-5.6
2016-02-08,2.8,9.2,-3.5
2016-02-09,4,8.6,-0.2
2016-02-10,5,14,-2.7
2016-02-11,10.9,17.1,4
2016-02-12,13.7,15.6,11.3
2016-02-13,14.2,19.8,6.5
2016-02-14,0.7,6.5,-2.2
2016-02-15,-2.1,0.8,-4.2
2016-02-16,1.3,5.7,-2.7
2016-02-17,2.9,7.2,-0.9
2016-02-18,4.7,11.6,-1.5
2016-02-19,7,11.8,1.9
2016-02-20,4.7,9.4,1.1
2016-02-21,2.4,7.3,-0.3
2016-02-22,3.5,6,0.3
